[2026-06-06T07:55:14.886316-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.931376-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:14.934018-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:14.981986-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.012065-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.015682-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:15.055771-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.083047-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.085867-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:15.110168-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.138700-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.142436-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
[2026-06-06T07:55:15.172519-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.229554-06:00] lfmcontrol.ERROR: mensaje: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for lfmcontrol.com.mx failed: Host desconocido. , archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Conexion.php, linea: 18, codigo: 2002 [] []
[2026-06-06T07:55:15.233228-06:00] lfmcontrol.ERROR: mensaje: Call to a member function prepare() on null, archivo: C:\xampp\htdocs\lfm_admin\Libraries\Core\Mysql.php, linea: 125, codigo: 0 [] []
